CustGroup,Customer,CustomerName,TransactionDate,InvoiceDescription,DetailLineCount,AmountDue,OriginalAmount,Tax,CollectedCheckDate,CollectedCheckNumber,CollectedCheckAmount,CollectedImage,Notes
1,209773,LEV Foundation           ,41529,SUPPORT             ,2,9552.62,25,2.38,41795.67089,6930,9552.62,Images\AR_1_209773_6930.pdf,
1,217483,UNIVERSITY OF WASHINGTON ,41706,OCTOBER BILLING     ,6,93248,93248,8858.56,41795.67089,9609,93248,Images\AR_1_217483_9609.pdf,
1,218105,WBRP 1                   ,41575,OCT BILLING         ,4,1000,1000,95,41795.67089,4379,1000,Images\AR_1_218105_4379.pdf,
1,209773,LEV Foundation           ,41584,COPIES              ,3,9445.93,1148.05,109.07,41795.67089,9195,9445.93,Images\AR_1_209773_9195.pdf,
1,219294,Trammell Crow Company    ,41620,DECEMBER BILLING    ,4,339999.98,340000,32300,41795.67089,4536,339999.98,Images\AR_1_219294_4536.pdf,
1,215904,Skanska USA Bldg OR Divis,41631,DEC BILLING         ,3,919.91,5928.62,33.31,41795.67089,3592,919.91,Images\AR_1_215904_3592.pdf,
1,217685,Urban Renaissance Propert,41639,DECEMBER BILLING    ,4,5946,5946,564.88,41795.67089,564,5946,Images\AR_1_217685_564.pdf,
1,217685,Urban Renaissance Propert,41639,DECEMBER BILLING    ,4,5558,5946,564.88,41795.67089,7513,5558,Images\AR_1_217685_7513.pdf,
1,212151,Northwest Venture Associa,41653,SERVICES            ,3,7257.08,105916.67,0.87,41795.67089,3749,7257.08,Images\AR_1_212151_3749.pdf,
1,216043,Spokane Baptist Assoc    ,41654,JAN BILLING         ,4,159800,159800,13902.6,41795.67089,5819,159800,Images\AR_1_216043_5819.pdf,
1,219058,UHS of Delaware          ,41666,JAN BILLING         ,6,1597440,1588856,150941.32,41795.67089,8362,1597440,Images\AR_1_219058_8362.pdf,
1,207081,Group Health Cooperative ,41669,JAN BILLING         ,6,612428.9,644662,61242.9,41795.67089,2180,612428.9,Images\AR_1_207081_2180.pdf,
1,207551,Health Sciences & Service,41677,COPIES              ,2,2640.98,29.5,2.57,41795.67089,8841,2640.98,Images\AR_1_207551_8841.pdf,
1,205514,Ecolabs                  ,41680,FEB BILLING         ,4,502.26,502.26,47.72,41795.67089,9062,502.26,Images\AR_1_205514_9062.pdf,
1,210744,MICROSOFT C/O CBRE       ,41697,FEB BILLIN          ,4,82137.68,91264.1,8670.1,41795.67089,3733,82137.68,Images\AR_1_210744_3733.pdf,
1,217482,UNIVERSITY OF WASHINGTON ,41691,FEBRUARY BILLING    ,4,8500,8500,807.5,41795.67089,428,8500,Images\AR_1_217482_428.pdf,
1,217482,UNIVERSITY OF WASHINGTON ,41684,FEBRUARY BILLING    ,4,17950,17950,1705.26,41795.67089,7762,17950,Images\AR_1_217482_7762.pdf,
1,211389,Microsoft Corporation    ,41697,PO# 96084847        ,4,55710,55710,5292.46,41795.67089,8353,55710,Images\AR_1_211389_8353.pdf,
1,219352,Disney Facility Services ,41698,FEB BILLING         ,4,46576.58,48900,4645.5,41795.67089,32,46576.58,Images\AR_1_219352_32.pdf,
1,213680,Pyrotek                  ,41698,FEB BILLING         ,4,216943.32,228361.4,19867.44,41795.67089,4566,216943.32,Images\AR_1_213680_4566.pdf,
1,215092,SNOHOMISH CO FACILITIES  ,41696,FEB BILLING         ,4,5600,5600,481.6,41795.67089,6921,5600,Images\AR_1_215092_6921.pdf,
1,207081,Group Health Cooperative ,41698,FEB BILLING         ,4,27154.8,28584,2715.48,41795.67089,,27154.8,Images\AR_1_207081_.pdf,
1,219058,UHS of Delaware          ,41699,FEBRUARY BILLING    ,4,598118,600722,57068.6,41795.67089,803,598118,Images\AR_1_219058_803.pdf,
1,201808,Accenture USA            ,41709,MAR BILLING         ,4,77335.96,77668.86,7378.54,41795.67089,551,77335.96,Images\AR_1_201808_551.pdf,
1,212151,Northwest Venture Associa,41708,SUPPORT             ,5,87342.46,57449,1.74,41795.67089,1859,87342.46,Images\AR_1_212151_1859.pdf,
1,207769,Hudson Bay Insulation    ,41708,SUPPORT             ,4,750,750,71.26,41795.67089,4778,750,Images\AR_1_207769_4778.pdf,
1,206542,General Biodiesel        ,41708,SUPPORT             ,4,0.3,0.3,0.02,41795.67089,400,0.3,Images\AR_1_206542_400.pdf,
1,219340,Bake's Place             ,41708,MAR BILLING         ,4,5211.84,7601.88,722.18,41795.67089,8643,5211.84,Images\AR_1_219340_8643.pdf,
1,203668,CertainTeed Gypsum       ,41708,MAR BILLING         ,4,366.08,366.08,34.78,41795.67089,244,366.08,Images\AR_1_203668_244.pdf,
1,210744,MICROSOFT C/O CBRE       ,41708,OCOTBER BILLING     ,4,10985.37,11012.56,43.68,41795.67089,7202,10985.37,Images\AR_1_210744_7202.pdf,
1,219660,Glass Distillery         ,41708,MAR BILLING         ,4,10922,10922,1037.6,41795.67089,1536,10922,Images\AR_1_219660_1536.pdf,
1,217821,Valley Medical Center    ,41715,MARCH BILLING       ,4,32406,32406,3078.58,41795.67089,5221,32406,Images\AR_1_217821_5221.pdf,
1,210744,MICROSOFT C/O CBRE       ,41718,MARCH BILLING       ,4,96967.8,107742,10235.5,41795.67089,435,96967.8,Images\AR_1_210744_435.pdf,
1,219599,Rhapsody                 ,41718,MAR BILLING         ,4,129348,129348,12288.06,41795.67089,753,129348,Images\AR_1_219599_753.pdf,
1,201808,Accenture USA            ,41718,MAR BILLING PO 6886 ,6,15307.76,14906.7,1571.36,41795.67089,9113,15307.76,Images\AR_1_201808_9113.pdf,
1,216438,T-Mobile PCS Holdings LLC,41722,MAR BILLING         ,4,19815.2,19815.2,1624.84,41795.67089,9457,19815.2,Images\AR_1_216438_9457.pdf,
1,216438,T-Mobile PCS Holdings LLC,41722,MAR BILLING         ,4,9600,9600,787.2,41795.67089,214,9600,Images\AR_1_216438_214.pdf,
1,208041,Integra Telecom          ,41723,MARCH BILLING       ,4,63579.06,70643.4,6711.12,41795.67089,6673,63579.06,Images\AR_1_208041_6673.pdf,
1,211389,Microsoft Corporation    ,41723,PO# 96135249        ,4,221074,221074,17464.84,41795.67089,9778,221074,Images\AR_1_211389_9778.pdf,
1,210312,Lydig Construction       ,41723,MARCH BILLING       ,4,163897.8,172524,16389.78,41795.67089,7042,163897.8,Images\AR_1_210312_7042.pdf,
1,215652,Seattle Biomed Research  ,41724,MARCH BILLING       ,4,40858,40858,3881.52,41795.67089,4895,40858,Images\AR_1_215652_4895.pdf,
1,213648,Public Utility District N,41726,MARCH BILLING       ,4,169540.3,186510,15666.84,41795.67089,2112,169540.3,Images\AR_1_213648_2112.pdf,
1,209691,LBA Realty BPC-R4YAL     ,41725,MAR BILLING         ,6,410244.51,7570.86,719.24,41795.67089,1600,410244.51,Images\AR_1_209691_1600.pdf,
1,219558,Arrow Automotive LLC     ,41725,MAR BILLING         ,4,453.48,1657.62,157.48,41795.67089,6876,453.48,Images\AR_1_219558_6876.pdf,
1,219058,UHS of Delaware          ,41725,MARCH BILLING       ,4,119084.38,104400,9918,41795.67089,2611,119084.38,Images\AR_1_219058_2611.pdf,
1,219058,UHS of Delaware          ,41725,MARCH BILLING       ,6,239686,237082,22522.8,41795.67089,7451,239686,Images\AR_1_219058_7451.pdf,
1,219294,Trammell Crow Company    ,41725,MARCH BILLING       ,4,34276,34276,3256.22,41795.67089,8209,34276,Images\AR_1_219294_8209.pdf,
1,214051,RODNEY SMITH             ,41725,MAR BILLING         ,4,456.66,456.66,43.38,41795.67089,3731,456.66,Images\AR_1_214051_3731.pdf,
1,207769,Hudson Bay Insulation    ,41725,MAR BILLING         ,4,5162.02,5162.02,490.4,41795.67089,9257,5162.02,Images\AR_1_207769_9257.pdf,
1,219650,Justin Fallstrom         ,41725,MAR BILLING         ,4,602.04,602.04,57.2,41795.67089,3674,602.04,Images\AR_1_219650_3674.pdf,
