z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord,Values
51554,60013,7.00,6.25,,0.75,056-5000-6,,, -   ,,Cary,Cary,IL,McHenry,0,1,
51559,60014,8.00,6.25,,0.75,056-5000-6, 1.00 ,056-0031-6, -   ,,Lakewood,Crystal Lake,IL,McHenry,0,0,
51556,60014,7.75,6.25,,0.75,056-5000-6, 0.75 ,056-0007-3, -   ,,Village Of Lakewood,Crystal Lake,IL,McHenry,0,0,
51558,60014,7.75,6.25,,0.75,056-5000-6, 0.75 ,056-0007-3, -   ,,Crystal Lake,Crystal Lake,IL,McHenry,0,1,
51563,60015,7.50,6.25,,0.75,049-5000-6, 0.50 ,049-0042-1, -   ,,Bannockburn,Deerfield,IL,Lake,0,0,
51565,60015,7.50,6.25,,0.75,049-5000-6, 0.50 ,049-0076-6, -   ,,Riverwoods,Deerfield,IL,Lake,0,0,
51564,60015,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0004-9, -   ,,Deerfield,Deerfield,IL,Lake,0,1,
51566,60016,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0015-1, -   ,,Des Plaines,Des Plaines,IL,Cook,0,1,
51567,60017,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0015-1, -   ,,Des Plaines,Des Plaines,IL,Cook,0,1,
51569,60018,9.75,6.25,,2.25,016-5000-1, 1.25 ,016-0147-4, -   ,,Rosemont,Des Plaines,IL,Cook,0,0,
51568,60018,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0015-1, -   ,,Des Plaines,Des Plaines,IL,Cook,0,1,
51572,60019,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0015-1, -   ,,Rosemont,Des Plaines,IL,Cook,0,0,
51571,60019,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0015-1, -   ,,Despl/Rsmt Bus Rply,Des Plaines,IL,Cook,0,0,
51570,60019,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0015-1, -   ,,Des Plaines,Des Plaines,IL,Cook,0,1,
51574,60020,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0036-7, -   ,,Volo,Fox Lake,IL,Lake,0,0,
51573,60020,7.00,6.25,,0.75,049-5000-6,,, -   ,,Fox Lake,Fox Lake,IL,Lake,0,1,
51578,60021,7.00,6.25,,0.75,056-5000-6,,, -   ,,Barrington Hills,Fox River Grove,IL,McHenry,0,0,
51579,60021,7.00,6.25,,0.75,056-5000-6,,, -   ,,Fox River Grove,Fox River Grove,IL,McHenry,0,1,
51581,60022,8.50,6.25,,2.25,016-5000-1,,, -   ,,Glencoe,Glencoe,IL,Cook,0,1,
51582,60025,9.25,6.25,,2.25,016-5000-1, 0.75 ,016-0024-9, -   ,,Glenview,Glenview,IL,Cook,0,1,
51583,60026,9.25,6.25,,2.25,016-5000-1, 0.75 ,016-0024-9, -   ,,Glenview,Glenview,IL,Cook,0,1,
51584,60029,8.50,6.25,,2.25,016-5000-1,,, -   ,,Golf,Golf,IL,Cook,0,1,
51585,60030,7.00,6.25,,0.75,049-5000-6,,, -   ,,Gages Lake,Grayslake,IL,Lake,0,0,
51587,60030,7.00,6.25,,0.75,049-5000-6,,, -   ,,Hainesville,Grayslake,IL,Lake,0,0,
51588,60030,7.00,6.25,,0.75,049-5000-6,,, -   ,,Third Lake,Grayslake,IL,Lake,0,0,
51589,60030,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0036-7, -   ,,Volo,Grayslake,IL,Lake,0,0,
51593,60030,7.00,6.25,,0.75,049-5000-6,,, -   ,,Wildwood,Grayslake,IL,Lake,0,0,
51586,60030,7.00,6.25,,0.75,049-5000-6,,, -   ,,Grayslake,Grayslake,IL,Lake,0,1,
51594,60031,7.50,6.25,,0.75,049-5000-6, 0.50 ,049-0010-3, -   ,,Gurnee,Gurnee,IL,Lake,0,1,
51596,60033,7.00,6.25,,0.75,056-5000-6,,, -   ,,Alden,Harvard,IL,McHenry,0,0,
51595,60033,7.00,6.25,,0.75,056-5000-6,,, -   ,,Chemung,Harvard,IL,McHenry,0,0,
51597,60033,7.00,6.25,,0.75,056-5000-6,,, -   ,,Harvard,Harvard,IL,McHenry,0,1,
