"RecordType"|"Company"|"Number"|"VendorGroup"|"Vendor"|"VendorName"|"TransactionDate"|"JCCo"|"Job"|"JobDescription"|"Description"|"DetailLineCount"|"TotalOrigCost"|"TotalOrigTax"|"RemainingAmount"|"RemainingTax"
"PO"|"1"|"1-13073044"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"3/14/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"RENTALS                       "|"1"|"1479.00"|"0.00"|"447.70"|"0.00"
"PO"|"1"|"1-13073129"|"1"|"50867"|"COMMERCIAL FILTER SALES"|"3/14/2013 12:00:00 AM"|"1"|" 11461-001"|"Polyclinic"|"MISC ITEMS                    "|"1"|"51.60"|"0.00"|"51.60"|"0.00"
"PO"|"1"|"1-13079048"|"1"|"50919"|"FERGUSON ENTERPRISES INC"|"3/20/2013 12:00:00 AM"|"1"|"  1619-001"|"SWAUK MAINTENANCE"|"PLUMBING MATERIALS            "|"1"|"123.40"|"0.00"|"123.40"|"0.00"
"PO"|"1"|"1-13079081"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"3/20/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"RENTALS                       "|"1"|"840.50"|"0.00"|"198.50"|"0.00"
"PO"|"1"|"1-13079091"|"1"|"52648"|"STAR RENTALS"|"3/20/2013 12:00:00 AM"|"1"|"  1072-001"|"MS B33 EXEC BRIEF"|"RENTALS                       "|"1"|"624.15"|"0.00"|"301.11"|"0.00"
"PO"|"1"|"1-13080010"|"1"|"54153"|"ALEXANDER GOW FIRE EQUIP"|"3/21/2013 12:00:00 AM"|"1"|" 11504-001"|"Moda Apartments"|"SUBCONTRACTS                  "|"1"|"510.00"|"0.00"|"510.00"|"0.00"
"PO"|"1"|"1-13085114"|"1"|"50367"|"BUILDERS HARDWARE SUPPLY"|"3/26/2013 12:00:00 AM"|"1"|" 13735-001"|"SEA INNOV FMS 2013"|"MISC ITEMS                    "|"1"|"500.00"|"0.00"|"435.01"|"0.00"
"PO"|"1"|"1-13086052"|"1"|"54623"|"MASCOTT EQUIPMENT CO"|"3/27/2013 12:00:00 AM"|"1"|" 12720-001"|"TMobile Nexus Data"|"MISC ITEMS                    "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13088133"|"1"|"52541"|"SIEMENS INDUSTRY INC"|"3/29/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"ELECTRICAL MATERIALS          "|"1"|"750625.80"|"0.00"|"375.01"|"0.00"
"PO"|"1"|"1-13088142"|"1"|"50856"|"ENERGYPRINT INC"|"3/29/2013 12:00:00 AM"|"1"|" 10905-001"|"F5 Networks at 401"|"MISC ITEMS                    "|"1"|"750.00"|"0.00"|"750.00"|"0.00"
"PO"|"1"|"1-13091043"|"1"|"55182"|"SOUND WATER TREATMENT"|"4/1/2013 12:00:00 AM"|"1"|"  7278-001"|"City of Auburn PRAB"|"MISC ITEMS                    "|"1"|"1020.00"|"0.00"|"1020.00"|"0.00"
"PO"|"1"|"1-13092087"|"1"|"51847"|"MORIN CORPORATION"|"4/2/2013 12:00:00 AM"|"1"|"  1222-001"|"INTEL RA-J06"|"SM FIELD MATERIALS            "|"1"|"411.80"|"0.00"|"411.80"|"0.00"
"PO"|"1"|"1-13093020"|"1"|"51052"|"GENSCO INC"|"4/3/2013 12:00:00 AM"|"1"|"  1671-001"|"PO# NTP"|"SM FIELD MATERIALS            "|"1"|"300.62"|"0.00"|"26.56"|"0.00"
"PO"|"1"|"1-13094064"|"1"|"55182"|"SOUND WATER TREATMENT"|"4/4/2013 12:00:00 AM"|"1"|" 11524-001"|"Kent Station"|"SUBCONTRACTS                  "|"1"|"1485.00"|"0.00"|"165.00"|"0.00"
"PO"|"1"|"1-13095144"|"1"|"54105"|"FIRE PROTECTION SPECIALIS"|"4/5/2013 12:00:00 AM"|"1"|" 12995-001"|"SPOKANE POLICE"|"SUBCONTRACTS                  "|"1"|"815.00"|"0.00"|"525.00"|"0.00"
"PO"|"1"|"1-13099011"|"1"|"52543"|"SIERRA SPRINGS"|"4/9/2013 12:00:00 AM"|"1"|"  1292-001"|"INTEL D1X MOD 2 HVAC"|"RENTALS                       "|"1"|"2440.89"|"0.00"|"2.80"|"0.00"
"PO"|"1"|"1-13099045"|"1"|"52648"|"STAR RENTALS"|"4/9/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"RENTALS                       "|"1"|"6950.98"|"0.00"|"197.47"|"0.00"
"PO"|"1"|"1-13099129"|"1"|"50919"|"FERGUSON ENTERPRISES INC"|"4/9/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"PLUMBING MATERIALS            "|"1"|"21794.30"|"0.00"|"2105.56"|"0.00"
"PO"|"1"|"1-13101118"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"RENTALS                       "|"1"|"8180.00"|"0.00"|"2132.00"|"0.00"
"PO"|"1"|"1-13101131"|"1"|"55182"|"SOUND WATER TREATMENT"|"4/11/2013 12:00:00 AM"|"1"|" 11566-001"|"Springhill Suites by"|"SUBCONTRACTS                  "|"1"|"1648.00"|"0.00"|"206.00"|"0.00"
"PO"|"1"|"1-13101135"|"1"|"50329"|"BRAND ENERGY SVCS LLC"|"4/11/2013 12:00:00 AM"|"1"|"  1220-001"|"INTEL RA E-10 C-04"|"RENTALS                       "|"1"|"4931.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13101141"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"RENTALS                       "|"1"|"8180.00"|"0.00"|"2132.00"|"0.00"
"PO"|"1"|"1-13101149"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"RENTALS                       "|"1"|"8180.00"|"0.00"|"2073.00"|"0.00"
"PO"|"1"|"1-13101169"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"RENTALS                       "|"1"|"8180.00"|"0.00"|"2184.00"|"0.00"
"PO"|"1"|"1-13101173"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"RENTALS                       "|"1"|"8180.00"|"0.00"|"960.00"|"0.00"
"PO"|"1"|"1-13101177"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/11/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"RENTALS                       "|"1"|"10075.00"|"0.00"|"2734.00"|"0.00"
"PO"|"1"|"1-13102089"|"1"|"55766"|"REALCHEM NORTHWEST INC"|"4/12/2013 12:00:00 AM"|"1"|" 11574-001"|"LWIT - Redmond"|"MISC ITEMS                    "|"1"|"450.00"|"0.00"|"450.00"|"0.00"
"PO"|"1"|"1-13105046"|"1"|"54873"|"OREGON MECHANICAL INC"|"4/15/2013 12:00:00 AM"|"1"|" 11589-001"|"Ross Dress for Less"|"SUBCONTRACTS                  "|"1"|"1882.00"|"0.00"|"470.50"|"0.00"
"PO"|"1"|"1-13105055"|"1"|"51115"|"GRAYBAR ELECTRIC"|"4/15/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"ELECTRICAL MATERIALS          "|"1"|"5447.42"|"0.00"|"2669.39"|"0.00"
"PO"|"1"|"1-13106040"|"1"|"50856"|"ENERGYPRINT INC"|"4/16/2013 12:00:00 AM"|"1"|" 12624-001"|"Kruger Clinic"|"MISC ITEMS                    "|"1"|"375.00"|"0.00"|"375.00"|"0.00"
"PO"|"1"|"1-13106096"|"1"|"51956"|"NORBY COMPANY"|"4/16/2013 12:00:00 AM"|"1"|"  7292-001"|"KENT OFFICES"|"HVAC MATERIALS                "|"1"|"4827.50"|"0.00"|"4827.50"|"0.00"
"PO"|"1"|"1-13108001"|"1"|"50080"|"AIR REPS LLC"|"4/18/2013 12:00:00 AM"|"1"|"  1135-001"|"WSU VET MED RESEARCH"|"MISC ITEMS                    "|"1"|"51249.00"|"0.00"|"6000.00"|"0.00"
"PO"|"1"|"1-13109018"|"1"|"52648"|"STAR RENTALS"|"4/19/2013 12:00:00 AM"|"1"|"  1216-001"|"PCC SYLVANIA AM"|"RENTALS                       "|"1"|"180.00"|"0.00"|"90.00"|"0.00"
"PO"|"1"|"1-13112063"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/22/2013 12:00:00 AM"|"1"|"  1149-001"|"BPA MUNRO SCHEDULING"|"RENTALS                       "|"1"|"6257.02"|"0.00"|"1044.27"|"0.00"
"PO"|"1"|"1-13112134"|"1"|"52176"|"PLATT ELECTRIC SUPPLY INC"|"4/22/2013 12:00:00 AM"|"1"|"  1679-001"|"NTP - Email"|"ELECTRICAL MATERIALS          "|"1"|"989.28"|"0.00"|"270.40"|"0.00"
"PO"|"1"|"1-13113041"|"1"|"51522"|"L&R FABRICATION INC"|"4/23/2013 12:00:00 AM"|"1"|"  1153-001"|"KOOTENAI HEALTH OR"|"SM FIELD MATERIALS            "|"1"|"43821.00"|"0.00"|"2500.00"|"0.00"
"PO"|"1"|"1-13113078"|"1"|"51451"|"KELLER SUPPLY COMPANY"|"4/23/2013 12:00:00 AM"|"1"|"  1679-001"|"NTP - Email"|"PIPING MATERIALS              "|"1"|"1234.85"|"0.00"|"20.81"|"0.00"
"PO"|"1"|"1-13113115"|"1"|"52080"|"PAC MOBILE STRUCTURES INC"|"4/23/2013 12:00:00 AM"|"1"|"  1290-001"|"PDX-1 POD 5"|"RENTALS                       "|"1"|"22.40"|"0.00"|"22.40"|"0.00"
"PO"|"1"|"1-13114138"|"1"|"54153"|"ALEXANDER GOW FIRE EQUIP"|"4/24/2013 12:00:00 AM"|"1"|" 10844-001"|"4429 AIRPORT WAY"|"SUBCONTRACTS                  "|"1"|"212.50"|"0.00"|"212.50"|"0.00"
"PO"|"1"|"1-13115040"|"1"|"50645"|"CULLIGAN WATER CO PNW"|"4/25/2013 12:00:00 AM"|"1"|"  1061-001"|"3400 STONE S&C"|"RENTALS                       "|"1"|"1056.01"|"0.00"|"41.86"|"0.00"
"PO"|"1"|"1-13119064"|"1"|"54153"|"ALEXANDER GOW FIRE EQUIP"|"4/29/2013 12:00:00 AM"|"1"|" 11616-001"|"On the Park"|"MISC ITEMS                    "|"1"|"351.00"|"0.00"|"351.00"|"0.00"
"PO"|"1"|"1-13119092"|"1"|"52875"|"UNITED REFRIGERATION, INC"|"4/29/2013 12:00:00 AM"|"1"|" 13726-001"|"MCKFM FIRESIDE GRILL"|"MISC ITEMS                    "|"1"|"44.97"|"0.00"|"89.94"|"0.00"
"PO"|"1"|"1-13120136"|"1"|"50919"|"FERGUSON ENTERPRISES INC"|"4/30/2013 12:00:00 AM"|"1"|"  1652-001"|"INTEL RA4"|"PLUMBING MATERIALS            "|"1"|"12006.94"|"0.00"|"1642.76"|"0.00"
"PO"|"1"|"1-13122180"|"1"|"50645"|"CULLIGAN WATER CO PNW"|"5/2/2013 12:00:00 AM"|"1"|"  1149-001"|"BPA MUNRO SCHEDULING"|"RENTALS                       "|"1"|"298.01"|"0.00"|"65.44"|"0.00"
"PO"|"1"|"1-13123049"|"1"|"50919"|"FERGUSON ENTERPRISES INC"|"5/3/2013 12:00:00 AM"|"1"|"  1290-001"|"PDX-1 POD 5"|"PLUMBING MATERIALS            "|"1"|"635.01"|"0.00"|"55.23"|"0.00"
"PO"|"1"|"1-13126052"|"1"|"50233"|"BALDWIN SIGN CO"|"5/6/2013 12:00:00 AM"|"1"|" 13735-001"|"SEA INNOV FMS 2013"|"MISC ITEMS                    "|"1"|"3400.00"|"0.00"|"142.37"|"0.00"
