"Company"|"InvoiceNumber"|"CustGroup"|"Customer"|"CustomerName"|"TransactionDate"|"InvoiceDescription"|"DetailLineCount"|"AmountDue"|"OriginalAmount"|"Tax"
"101"|"     19600"|"101"|"203974"|"Clise Properties         "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"1924.46"|"1924.46"|"0.00"
"101"|"     19601"|"101"|"207991"|"Impark                   "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"889.14"|"889.14"|"0.00"
"101"|"     19602"|"101"|"202090"|"Barclay Realty Management"|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"1040.39"|"1040.39"|"0.00"
"101"|"     19603"|"101"|"200338"|"AGC Building & Marina    "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"618.68"|"618.68"|"0.00"
"101"|"     19604"|"101"|"209469"|"King County Roads        "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"3788.70"|"3788.70"|"0.00"
"101"|"     19605"|"101"|"207453"|"Hammes Co                "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"1073.10"|"1073.10"|"0.00"
"101"|"     19606"|"101"|"204157"|"Convergint Technologies  "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1440.00"|"1440.00"|"0.00"
"101"|"     19607"|"101"|"207521"|"Harrison Medical Center  "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"564.72"|"564.72"|"0.00"
"101"|"     19608"|"101"|"202229"|"Bentall Kennedy          "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"33678.92"|"33678.92"|"0.00"
"101"|"     19609"|"101"|"206834"|"Gateway Construction     "|"8/28/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1779.00"|"1779.00"|"0.00"
